# World Ocean Atlas 2023, decav annual mean (t00/s00), 1-degree grid
# site: aegean
# Aegean. Only 650 m deep in this cell, strongly stratified and bounded on every side -- the case where a range-INDEPENDENT ocean is least defensible, included so that limitation has something real to fail against. Axis 175 m.
# grid cell centre: lat 38.5, lon 25.5
# source: https://www.ncei.noaa.gov/thredds-ocean/dodsC/woa23/DATA/temperature/netcdf/decav/1.00/woa23_decav_t00_01.nc
#         https://www.ncei.noaa.gov/thredds-ocean/dodsC/woa23/DATA/salinity/netcdf/decav/1.00/woa23_decav_s00_01.nc
# fetched by tools/fetch_woa_profiles.py
# WOA23 is a US Government work, public domain.
# NOTE: a climatology, not a cast. See the script docstring.
depth_m,temperature_c,salinity_psu
0.0,18.7300,38.7413
5.0,18.6178,38.7918
10.0,18.4747,38.8325
15.0,18.2426,38.8616
20.0,17.9602,38.8899
25.0,17.6267,38.9086
30.0,17.2684,38.9227
35.0,16.9598,38.9302
40.0,16.6770,38.9383
45.0,16.4551,38.9464
50.0,16.2712,38.9593
55.0,16.1073,38.9718
60.0,15.9898,38.9734
65.0,15.8865,38.9747
70.0,15.7707,38.9787
75.0,15.6963,38.9822
80.0,15.6332,38.9827
85.0,15.5833,38.9825
90.0,15.5328,38.9843
95.0,15.4997,38.9843
100.0,15.4646,38.9834
125.0,15.3378,38.9804
150.0,15.2038,38.9806
175.0,15.0501,38.9723
200.0,14.9272,38.9680
225.0,14.8065,38.9839
250.0,14.7072,38.9716
275.0,14.5934,38.9593
300.0,14.5157,38.9460
325.0,14.4151,38.9387
350.0,14.3508,38.9359
375.0,14.2907,38.9312
400.0,14.2541,38.9287
425.0,14.2551,38.9330
450.0,14.2428,38.9352
475.0,14.2282,38.9364
500.0,14.2271,38.9442
550.0,14.2534,38.9547
600.0,14.2917,38.9684
650.0,14.2898,38.9786
