# World Ocean Atlas 2023, decav annual mean (t00/s00), 1-degree grid
# site: black-sea
# Black Sea. Near-fresh at the surface (18.2 PSU) under a permanent halocline, so the profile is driven by SALINITY rather than temperature -- the reverse of every other site here. Axis 55 m, very shallow.
# grid cell centre: lat 43.5, lon 34.5
# source: https://www.ncei.noaa.gov/thredds-ocean/dodsC/woa23/DATA/temperature/netcdf/decav/1.00/woa23_decav_t00_01.nc
#         https://www.ncei.noaa.gov/thredds-ocean/dodsC/woa23/DATA/salinity/netcdf/decav/1.00/woa23_decav_s00_01.nc
# fetched by tools/fetch_woa_profiles.py
# WOA23 is a US Government work, public domain.
# NOTE: a climatology, not a cast. See the script docstring.
depth_m,temperature_c,salinity_psu
0.0,14.9188,18.2133
5.0,14.5725,18.2291
10.0,13.8640,18.2460
15.0,12.6707,18.2719
20.0,11.3555,18.3040
25.0,10.1779,18.3424
30.0,9.2863,18.3883
35.0,8.6983,18.4423
40.0,8.2717,18.5219
45.0,8.0059,18.6360
50.0,7.8582,18.7778
55.0,7.7931,18.8684
60.0,7.8544,19.0885
65.0,7.8916,19.2526
70.0,7.9388,19.4128
75.0,7.9794,19.5559
80.0,8.0237,19.6943
85.0,8.0813,19.8435
90.0,8.1298,19.9750
95.0,8.1803,20.0961
100.0,8.2276,20.2121
125.0,8.3962,20.6554
150.0,8.5452,21.0074
175.0,8.6266,21.2279
200.0,8.6939,21.3910
225.0,8.7381,21.5041
250.0,8.7707,21.6045
275.0,8.7943,21.6788
300.0,8.8143,21.7458
325.0,8.8288,21.7927
350.0,8.8421,21.8335
375.0,8.8520,21.8728
400.0,8.8602,21.9096
425.0,8.8654,21.9385
450.0,8.8692,21.9705
475.0,8.8785,22.0049
500.0,8.8839,22.0321
550.0,8.8889,22.0735
600.0,8.8972,22.1272
650.0,8.9022,22.1614
700.0,8.9071,22.1862
750.0,8.9147,22.2115
800.0,8.9212,22.2309
850.0,8.9314,22.2450
900.0,8.9320,22.2467
950.0,8.9417,22.2593
1000.0,8.9504,22.2706
1050.0,8.9571,22.2841
1100.0,8.9658,22.2909
1150.0,8.9735,22.2976
1200.0,8.9870,22.3071
1250.0,8.9932,22.3125
1300.0,8.9953,22.3134
1350.0,9.0025,22.3144
1400.0,9.0151,22.3201
1450.0,9.0231,22.3237
1500.0,9.0313,22.3259
1550.0,9.0389,22.3265
1600.0,9.0446,22.3264
1650.0,9.0508,22.3266
1700.0,9.0642,22.3355
1750.0,9.0704,22.3358
1800.0,9.0789,22.3365
1850.0,9.0816,22.3375
1900.0,9.0910,22.3391
1950.0,9.0948,22.3412
2000.0,9.0964,22.3421
2100.0,9.1081,22.3552
2200.0,9.1171,22.3989
