# World Ocean Atlas 2023, decav annual mean (t00/s00), 1-degree grid
# site: eq-pacific
# Equatorial Pacific. Warm-topped with a thick thermocline over a deep channel at 950 m -- the long-range propagation case.
# grid cell centre: lat 0.5, lon -150.5
# source: https://www.ncei.noaa.gov/thredds-ocean/dodsC/woa23/DATA/temperature/netcdf/decav/1.00/woa23_decav_t00_01.nc
#         https://www.ncei.noaa.gov/thredds-ocean/dodsC/woa23/DATA/salinity/netcdf/decav/1.00/woa23_decav_s00_01.nc
# fetched by tools/fetch_woa_profiles.py
# WOA23 is a US Government work, public domain.
# NOTE: a climatology, not a cast. See the script docstring.
depth_m,temperature_c,salinity_psu
0.0,26.9501,35.1181
5.0,26.9283,35.1199
10.0,26.8998,35.1250
15.0,26.8663,35.1252
20.0,26.8409,35.1264
25.0,26.8138,35.1283
30.0,26.7851,35.1314
35.0,26.7460,35.1360
40.0,26.7057,35.1413
45.0,26.6542,35.1489
50.0,26.6036,35.1555
55.0,26.5366,35.1625
60.0,26.4542,35.1656
65.0,26.3596,35.1728
70.0,26.2513,35.1807
75.0,26.0974,35.1883
80.0,25.9286,35.1929
85.0,25.7065,35.1968
90.0,25.4548,35.2006
95.0,25.1264,35.2042
100.0,24.6807,35.2059
125.0,21.5696,35.1654
150.0,17.5528,35.0559
175.0,14.5793,34.9485
200.0,13.0542,34.9006
225.0,12.3664,34.8722
250.0,11.9935,34.8528
275.0,11.7362,34.8346
300.0,11.4296,34.8146
325.0,11.0764,34.7920
350.0,10.6671,34.7645
375.0,10.2214,34.7372
400.0,9.7602,34.7095
425.0,9.3033,34.6837
450.0,8.8761,34.6597
475.0,8.4741,34.6412
500.0,8.1375,34.6246
550.0,7.5744,34.6002
600.0,7.0735,34.5803
650.0,6.6160,34.5653
700.0,6.2035,34.5552
750.0,5.8522,34.5492
800.0,5.5447,34.5462
850.0,5.2361,34.5463
900.0,4.9807,34.5486
950.0,4.7586,34.5518
1000.0,4.5625,34.5552
1050.0,4.3733,34.5596
1100.0,4.1855,34.5643
1150.0,4.0143,34.5687
1200.0,3.8555,34.5744
1250.0,3.6967,34.5797
1300.0,3.5456,34.5850
1350.0,3.4067,34.5900
1400.0,3.2746,34.5948
1450.0,3.1528,34.5999
1500.0,3.0410,34.6045
1550.0,2.9179,34.6101
1600.0,2.8275,34.6148
1650.0,2.7454,34.6187
1700.0,2.6574,34.6227
1750.0,2.5751,34.6267
1800.0,2.5078,34.6305
1850.0,2.4421,34.6338
1900.0,2.3821,34.6372
1950.0,2.3234,34.6401
2000.0,2.2585,34.6435
2100.0,2.1597,34.6485
2200.0,2.0607,34.6538
2300.0,1.9796,34.6583
2400.0,1.9176,34.6620
2500.0,1.8607,34.6654
2600.0,1.8230,34.6681
2700.0,1.7834,34.6705
2800.0,1.7441,34.6724
2900.0,1.7095,34.6740
3000.0,1.6808,34.6754
3100.0,1.6441,34.6777
3200.0,1.6098,34.6798
3300.0,1.5717,34.6823
3400.0,1.5305,34.6852
3500.0,1.4967,34.6877
3600.0,1.4637,34.6901
3700.0,1.4407,34.6920
3800.0,1.4257,34.6935
3900.0,1.4157,34.6945
4000.0,1.4057,34.6956
4100.0,1.3960,34.6965
4200.0,1.3886,34.6976
4300.0,1.3910,34.6979
