# World Ocean Atlas 2023, decav annual mean (t00/s00), 1-degree grid
# site: levantine
# Eastern Mediterranean. The saltiest water here (39.3 PSU at the surface), which lifts sound speed everywhere and makes the salinity term matter instead of being a small correction. Channel axis near 375 m.
# grid cell centre: lat 34.5, lon 32.5
# source: https://www.ncei.noaa.gov/thredds-ocean/dodsC/woa23/DATA/temperature/netcdf/decav/1.00/woa23_decav_t00_01.nc
#         https://www.ncei.noaa.gov/thredds-ocean/dodsC/woa23/DATA/salinity/netcdf/decav/1.00/woa23_decav_s00_01.nc
# fetched by tools/fetch_woa_profiles.py
# WOA23 is a US Government work, public domain.
# NOTE: a climatology, not a cast. See the script docstring.
depth_m,temperature_c,salinity_psu
0.0,21.6193,39.2699
5.0,21.5263,39.2780
10.0,21.3534,39.2716
15.0,21.0058,39.2557
20.0,20.5139,39.2435
25.0,19.9542,39.2026
30.0,19.4475,39.1714
35.0,18.9880,39.1429
40.0,18.5828,39.1222
45.0,18.2552,39.1042
50.0,17.9860,39.0912
55.0,17.7404,39.0878
60.0,17.5189,39.0804
65.0,17.3364,39.0775
70.0,17.1943,39.0756
75.0,17.0506,39.0758
80.0,16.9394,39.0768
85.0,16.8354,39.0789
90.0,16.7516,39.0825
95.0,16.6854,39.0848
100.0,16.6307,39.0860
125.0,16.4153,39.1048
150.0,16.2177,39.0870
175.0,16.0220,39.0717
200.0,15.8034,39.0567
225.0,15.6019,39.0521
250.0,15.4025,39.0380
275.0,15.2083,39.0161
300.0,15.0157,38.9908
325.0,14.8401,38.9660
350.0,14.6824,38.9404
375.0,14.5469,38.9205
400.0,14.4256,38.9007
425.0,14.3246,38.8852
450.0,14.2320,38.8663
475.0,14.1495,38.8529
500.0,14.0455,38.8292
550.0,13.9555,38.8095
600.0,13.8797,38.7919
650.0,13.8187,38.7739
700.0,13.7682,38.7578
750.0,13.7440,38.7516
800.0,13.7222,38.7459
850.0,13.7054,38.7412
900.0,13.6910,38.7383
950.0,13.6883,38.7353
1000.0,13.6792,38.7314
1050.0,13.6788,38.7296
1100.0,13.6792,38.7281
1150.0,13.6775,38.7264
1200.0,13.6747,38.7241
1250.0,13.6921,38.7309
1300.0,13.6937,38.7307
1350.0,13.7118,38.7338
1400.0,13.7270,38.7361
1450.0,13.7368,38.7365
1500.0,13.7387,38.7348
1550.0,13.7358,38.7315
1600.0,13.7355,38.7290
1650.0,13.7434,38.7290
1700.0,13.7436,38.7265
1750.0,13.7525,38.7266
1800.0,13.7530,38.7243
1850.0,13.7670,38.7261
1900.0,13.7738,38.7256
1950.0,13.7789,38.7259
2000.0,13.7425,38.7118
2100.0,13.7590,38.7116
2200.0,13.7589,38.7060
2300.0,13.7908,38.7170
2400.0,13.8355,38.7301
