# World Ocean Atlas 2023, decav annual mean (t00/s00), 1-degree grid
# site: n-atlantic
# North Atlantic. The textbook deep sound channel, axis near 950 m -- the closest real analogue to the Munk profile the tests use.
# grid cell centre: lat 45.5, lon -40.5
# source: https://www.ncei.noaa.gov/thredds-ocean/dodsC/woa23/DATA/temperature/netcdf/decav/1.00/woa23_decav_t00_01.nc
#         https://www.ncei.noaa.gov/thredds-ocean/dodsC/woa23/DATA/salinity/netcdf/decav/1.00/woa23_decav_s00_01.nc
# fetched by tools/fetch_woa_profiles.py
# WOA23 is a US Government work, public domain.
# NOTE: a climatology, not a cast. See the script docstring.
depth_m,temperature_c,salinity_psu
0.0,15.6135,35.3802
5.0,15.5895,35.3840
10.0,15.5494,35.3904
15.0,15.4960,35.4075
20.0,15.4234,35.4296
25.0,15.3193,35.4552
30.0,15.2019,35.4844
35.0,15.0595,35.5089
40.0,14.9151,35.5338
45.0,14.7825,35.5622
50.0,14.6860,35.5838
55.0,14.5858,35.6018
60.0,14.4917,35.6207
65.0,14.3807,35.6348
70.0,14.3079,35.6504
75.0,14.2368,35.6631
80.0,14.1850,35.6707
85.0,14.1239,35.6785
90.0,14.0780,35.6850
95.0,14.0294,35.6909
100.0,13.9730,35.6927
125.0,13.7506,35.6967
150.0,13.4295,35.6830
175.0,13.1985,35.6704
200.0,12.9387,35.6390
225.0,12.7574,35.6236
250.0,12.4905,35.5965
275.0,12.3391,35.5811
300.0,12.0734,35.5495
325.0,11.8072,35.5185
350.0,11.5387,35.4811
375.0,11.2194,35.4423
400.0,10.8534,35.3929
425.0,10.5125,35.3514
450.0,10.1515,35.3040
475.0,9.7479,35.2614
500.0,9.2671,35.2105
550.0,8.5344,35.1416
600.0,7.7858,35.0790
650.0,7.0711,35.0305
700.0,6.5684,35.0129
750.0,6.0740,34.9959
800.0,5.7092,34.9872
850.0,5.3905,34.9872
900.0,5.1597,34.9805
950.0,4.9527,34.9774
1000.0,4.7655,34.9724
1050.0,4.6149,34.9675
1100.0,4.4713,34.9607
1150.0,4.3622,34.9555
1200.0,4.2605,34.9495
1250.0,4.1640,34.9476
1300.0,4.0853,34.9402
1350.0,4.0226,34.9372
1400.0,3.9616,34.9333
1450.0,3.8943,34.9307
1500.0,3.8532,34.9283
1550.0,3.8009,34.9249
1600.0,3.7639,34.9244
1650.0,3.7296,34.9230
1700.0,3.7025,34.9232
1750.0,3.6706,34.9250
1800.0,3.6454,34.9262
1850.0,3.6139,34.9251
1900.0,3.5861,34.9248
1950.0,3.5601,34.9254
2000.0,3.5543,34.9234
2100.0,3.4936,34.9262
2200.0,3.4464,34.9280
2300.0,3.3990,34.9293
2400.0,3.3514,34.9309
2500.0,3.2980,34.9316
2600.0,3.2381,34.9329
2700.0,3.1754,34.9327
2800.0,3.1095,34.9329
2900.0,3.0376,34.9317
3000.0,2.9653,34.9313
3100.0,2.8926,34.9294
3200.0,2.8194,34.9274
3300.0,2.7429,34.9251
3400.0,2.6701,34.9230
3500.0,2.5967,34.9204
3600.0,2.5280,34.9173
3700.0,2.4644,34.9142
3800.0,2.4103,34.9107
3900.0,2.3657,34.9078
4000.0,2.3261,34.9052
4100.0,2.2975,34.9034
4200.0,2.2777,34.9018
4300.0,2.2677,34.9016
4400.0,2.2502,34.9007
4500.0,2.2328,34.8994
4600.0,2.2282,34.9007
4700.0,2.2246,34.9036
