# World Ocean Atlas 2023, decav annual mean (t00/s00), 1-degree grid
# site: norwegian
# Norwegian Sea. Cold throughout and weakly stratified: temperature falls monotonically from 6.6 C to below zero, so the near-surface water refracts DOWNWARD and a surface source has a shadow zone under it. Axis 850 m. (The seasonal surface duct real ships see is averaged away by a climatology -- which is itself worth seeing.)
# grid cell centre: lat 70.5, lon 5.5
# source: https://www.ncei.noaa.gov/thredds-ocean/dodsC/woa23/DATA/temperature/netcdf/decav/1.00/woa23_decav_t00_01.nc
#         https://www.ncei.noaa.gov/thredds-ocean/dodsC/woa23/DATA/salinity/netcdf/decav/1.00/woa23_decav_s00_01.nc
# fetched by tools/fetch_woa_profiles.py
# WOA23 is a US Government work, public domain.
# NOTE: a climatology, not a cast. See the script docstring.
depth_m,temperature_c,salinity_psu
0.0,6.6430,35.1358
5.0,6.6281,35.1377
10.0,6.6063,35.1429
15.0,6.5689,35.1429
20.0,6.5184,35.1426
25.0,6.4344,35.1434
30.0,6.3365,35.1448
35.0,6.2241,35.1465
40.0,6.1113,35.1484
45.0,6.0113,35.1502
50.0,5.9230,35.1519
55.0,5.8488,35.1522
60.0,5.7803,35.1511
65.0,5.7223,35.1505
70.0,5.6705,35.1499
75.0,5.6226,35.1490
80.0,5.5775,35.1456
85.0,5.5359,35.1436
90.0,5.4974,35.1421
95.0,5.4612,35.1408
100.0,5.4298,35.1395
125.0,5.2754,35.1304
150.0,5.1476,35.1256
175.0,4.9830,35.1133
200.0,4.8618,35.1102
225.0,4.7156,35.1003
250.0,4.6085,35.0989
275.0,4.4877,35.0938
300.0,4.3569,35.0891
325.0,4.2263,35.0832
350.0,4.0963,35.0788
375.0,3.9556,35.0730
400.0,3.8294,35.0693
425.0,3.6798,35.0627
450.0,3.5336,35.0571
475.0,3.3699,35.0509
500.0,3.2303,35.0454
550.0,2.8162,35.0267
600.0,2.3937,35.0049
650.0,1.8267,34.9739
700.0,1.4723,34.9623
750.0,0.9375,34.9326
800.0,0.5950,34.9264
850.0,0.1360,34.9126
900.0,0.0724,34.9150
950.0,-0.0926,34.9111
1000.0,-0.2317,34.9078
1050.0,-0.3435,34.9067
1100.0,-0.4162,34.9063
1150.0,-0.4753,34.9061
1200.0,-0.5224,34.9064
1250.0,-0.5820,34.9073
1300.0,-0.6106,34.9067
1350.0,-0.6388,34.9067
1400.0,-0.6551,34.9070
1450.0,-0.6622,34.9070
1500.0,-0.6861,34.9076
1550.0,-0.7352,34.9085
1600.0,-0.7481,34.9090
1650.0,-0.7580,34.9095
1700.0,-0.7695,34.9097
1750.0,-0.7838,34.9090
1800.0,-0.8007,34.9109
1850.0,-0.8125,34.9105
1900.0,-0.8234,34.9104
1950.0,-0.8277,34.9104
2000.0,-0.8414,34.9084
2100.0,-0.8547,34.9086
2200.0,-0.8639,34.9086
2300.0,-0.8691,34.9083
2400.0,-0.8740,34.9080
2500.0,-0.8803,34.9078
2600.0,-0.8793,34.9080
2700.0,-0.8702,34.9083
2800.0,-0.8552,34.9095
2900.0,-0.8439,34.9099
3000.0,-0.8460,34.9086
3100.0,-0.8264,34.9101
3200.0,-0.7711,34.9179
